Date,yr,ppt_mm,tmin_degrees_C,tmean_degrees_C,tmax_degrees_C,vpdmin_hPa,vpdmax_hPa
1936-01,1936,67.36,3.3,8.9,14.5,0.51,7.91
1936-02,1936,248.84,3.6,8.8,14,0.15,6.6
1936-03,1936,51.97,5.6,12.8,20,0.56,13.97
1936-04,1936,28.68,7.6,16.1,24.5,1.25,21.31
1936-05,1936,5.77,10.2,20.2,30.2,2.39,33.24
1936-06,1936,9.37,14.1,24.1,34.2,5.18,43.12
1936-07,1936,1.98,18.5,29.1,39.6,8.77,59.28
1936-08,1936,0,17.4,28.3,39.1,7.82,58
1936-09,1936,0,13.3,24.3,35.2,4.79,46.66
1936-10,1936,50.66,10.4,19.2,27.9,2.41,27.8
1936-11,1936,0.22,4,12.9,21.9,1.38,19.08
1936-12,1936,135.05,1.6,7.4,13.3,0.29,7.04
1937-01,1937,81.39,-2.4,2.8,8,0.24,4.02
1937-02,1937,145.08,2.9,8.6,14.3,0.23,7.36
1937-03,1937,109.52,4.9,11.2,17.6,0.19,10.31
1937-04,1937,24.66,6.1,14.2,22.2,1.1,17.97
1937-05,1937,0,10.2,20.4,30.6,2.64,34.64
1937-06,1937,0,13.9,23.8,33.7,4.83,41.55
1937-07,1937,0,17.8,28.6,39.5,8.04,59.12
1937-08,1937,0,16.2,27.4,38.7,6.66,56.76
1937-09,1937,0,13.6,24,34.5,4.82,44.12
1937-10,1937,2.06,9.3,19.1,29,2.64,31.16
1937-11,1937,13,5.6,13,20.5,1.03,15.45
1937-12,1937,137.06,3.3,9.7,16,0.26,9.36
1938-01,1938,95.39,2.4,8,13.7,0.42,7.38
1938-02,1938,171.51,3.6,9,14.4,0.06,6.72
1938-03,1938,226.1,3.8,9.5,15.1,0.06,7.49
1938-04,1938,60.76,6.7,14.6,22.4,0.73,17.56
1938-05,1938,4.62,9.7,19.7,29.6,2.24,32.04
1938-06,1938,0.04,14.9,25.1,35.3,6.02,46.34
1938-07,1938,2.99,17.7,28.3,38.8,7.92,56.97
1938-08,1938,0,16.2,26.9,37.7,6.65,53.45
1938-09,1938,3.18,14.6,24.7,34.8,5.22,44.4
1938-10,1938,35.25,8.6,17.5,26.4,2.01,25.13
1938-11,1938,17.91,2.7,10.6,18.5,1.26,14.51
1938-12,1938,35.9,3.5,9.2,14.9,0.2,7.73
1939-01,1939,65.04,2,7.9,13.9,0.29,7.6
1939-02,1939,50.33,0.9,7,13.2,0.35,7.57
1939-03,1939,69.14,5.1,11.7,18.4,0.38,11.57
1939-04,1939,13.16,9.1,18,27,1.71,25.7
1939-05,1939,11.31,9.8,20,30.3,2.28,33.58
1939-06,1939,5.59,13.5,24.5,35.5,5.21,48
1939-07,1939,0,16.3,27.9,39.5,6.62,59.44
1939-08,1939,0,16.4,28,39.6,6.81,60.17
1939-09,1939,31.44,14.9,24.9,34.8,4.87,44.27
1939-10,1939,29.92,8.5,18,27.4,2.31,27.99
1939-11,1939,1.25,4.6,14,23.4,1.2,21.11
1939-12,1939,16.17,3.2,10.3,17.5,0.39,11.6
1940-01,1940,230.93,4.6,9.3,14,0.18,5.98
1940-02,1940,138.63,5.4,10.7,15.9,0.06,7.56
1940-03,1940,59.31,6.2,13.1,20,0.28,13.09
1940-04,1940,24.99,7.5,15.8,24.1,0.67,19.92
1940-05,1940,0,10.9,21.5,32,2.58,37.33
1940-06,1940,0,15.4,26.5,37.7,6.53,54.16
1940-07,1940,0,15.8,27,38.3,6.61,55.58
1940-08,1940,0,15.9,27.3,38.7,6.7,57.21
1940-09,1940,0,12.3,22.1,31.8,3.88,36.73
1940-10,1940,42.05,9.6,18.7,27.8,2.31,27.76
1940-11,1940,3.17,3.6,11.3,19,0.84,13.98
1940-12,1940,185.08,4.2,10.6,17,0.25,10.07
1941-01,1941,84.7,4,9.5,15.1,0.03,7.3
1941-02,1941,148.46,6.3,11.3,16.3,0.04,7.02
1941-03,1941,69.85,6.2,12.7,19.2,0.15,11.29
1941-04,1941,101.35,5.8,13.4,20.9,0.28,14.7
1941-05,1941,3.93,10.2,19.7,29.2,2,30.12
1941-06,1941,0,12.3,22.6,32.8,3.88,39.72
1941-07,1941,0,16.6,27.9,39.2,6.91,58.3
1941-08,1941,0.91,14.8,25,35.2,5.16,45.69
1941-09,1941,0,11,21.6,32.2,3.55,39.22
1941-10,1941,28.96,7.7,16.4,25.2,1.65,23.03
1941-11,1941,24.52,5.3,13.2,21,0.94,16.09
1941-12,1941,148.83,3.5,8.8,14.1,0.16,6.35
1942-01,1942,78.02,2.6,8.3,14.1,0.08,6.88
1942-02,1942,50.85,1.9,8.2,14.6,0.02,6.85
1942-03,1942,45.38,3,11,19,0.43,12.79
1942-04,1942,68.77,6.2,13.8,21.4,0.03,14.96
1942-05,1942,29.49,7.7,17.2,26.7,0.82,25.86
1942-06,1942,0,12.3,23.4,34.5,4.47,43.5
1942-07,1942,0,17.4,28.5,39.7,8.41,59.07
1942-08,1942,0,16,27.2,38.3,7.18,53.9
1942-09,1942,0,12.5,22.8,33.2,4.05,39.58
1942-10,1942,1.04,9.8,19.2,28.5,2.99,29.64
1942-11,1942,54.22,4.9,12.1,19.2,0.74,12.26
1942-12,1942,54.05,2.8,8.2,13.6,0.01,6.01
1943-01,1943,119.03,1.7,8,14.3,0.32,7.48
1943-02,1943,52.1,3.8,10.5,17.1,0.16,9.85
1943-03,1943,127.89,6.5,12.3,18.1,0.04,8.2
1943-04,1943,27.68,7.5,15.4,23.2,0.1,16.17
1943-05,1943,0.18,9.2,19.8,30.3,1.72,33.11
1943-06,1943,0,10.6,21.1,31.5,3.49,37.01
1943-07,1943,0,15.8,26.8,37.9,6.62,51.38
1943-08,1943,0,13.8,25,36.3,5.45,48.18
1943-09,1943,0,13.6,24.7,35.7,4.43,46.15
1943-10,1943,9.27,8.7,18.1,27.5,1.99,28.42
1943-11,1943,16.05,4.3,12.8,21.3,1.28,16.53
1943-12,1943,54.67,2.7,8.8,14.9,0.32,8.2
1944-01,1944,64.97,1.8,8.1,14.4,0.22,7.92
1944-02,1944,120.15,2.3,8,13.7,0.21,7.15
1944-03,1944,28.91,3.1,10.9,18.6,0.55,13.1
1944-04,1944,45.21,4.5,12.6,20.7,0.14,14.89
1944-05,1944,7.55,9.6,19.3,28.9,1.55,29.17
1944-06,1944,4.08,11.5,21.1,30.8,2.73,31.9
1944-07,1944,0,15.4,26.4,37.4,6.07,51.57
1944-08,1944,0,14.1,25.9,37.6,6.25,54.86
